Player-additional,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,ERA+,WAR,K%,BB%,K/BB,K9
spencmi01,Mitch Spence,26.0,OAK,AL,8.0,10.0,0.444,4.58,35.0,24.0,2.0,0.0,0.0,0.0,151.1,165.0,79.0,77.0,20.0,44.0,0.0,126.0,6.0,1.0,8.0,651.0,4.027,1.383,9.828,1.191,2.621,7.5,2.86,86.0,1.6,0.194,0.068,2.864,7.505
spierca01,Carson Spiers,26.0,CIN,NL,5.0,7.0,0.417,5.46,22.0,10.0,4.0,0.0,0.0,0.0,90.2,112.0,59.0,55.0,20.0,27.0,0.0,80.0,5.0,0.0,0.0,410.0,5.107,1.541,11.175,1.996,2.694,7.9,2.96,81.0,0.0,0.195,0.066,2.963,7.982
sprinje01,Jeffrey Springs*,31.0,TBR,AL,2.0,2.0,0.5,3.27,7.0,7.0,0.0,0.0,0.0,0.0,33.0,34.0,12.0,12.0,5.0,11.0,0.0,37.0,1.0,0.0,0.0,142.0,3.827,1.364,9.273,1.364,3.0,10.1,3.36,123.0,0.9,0.261,0.077,3.364,10.091
stanery01,Ryne Stanek,32.0,NYM/SEA,2LG,7.0,3.0,0.7,4.88,63.0,0.0,14.0,0.0,0.0,7.0,55.1,48.0,32.0,30.0,8.0,25.0,2.0,67.0,3.0,0.0,3.0,241.0,3.917,1.325,7.84,1.307,4.083,10.9,2.68,78.0,-0.6,0.278,0.104,2.68,10.944
staumjo01,Josh Staumont,30.0,MIN,AL,1.0,0.0,1.0,3.7,25.0,0.0,12.0,0.0,0.0,0.0,24.1,17.0,12.0,10.0,0.0,14.0,0.0,18.0,1.0,0.0,1.0,102.0,3.349,1.286,6.349,0.0,5.228,6.7,1.29,114.0,0.2,0.176,0.137,1.286,6.722
steelju01,Justin Steele*,28.0,CHC,NL,5.0,5.0,0.5,3.07,24.0,24.0,0.0,1.0,0.0,0.0,134.2,111.0,54.0,46.0,12.0,37.0,0.0,135.0,4.0,0.0,1.0,555.0,3.078,1.103,7.444,0.805,2.481,9.0,3.65,130.0,1.9,0.243,0.067,3.649,9.054
stewabr01,Brock Stewart,32.0,MIN,AL,0.0,0.0,,5.17,16.0,0.0,1.0,0.0,0.0,0.0,15.2,15.0,9.0,9.0,2.0,8.0,0.0,20.0,0.0,0.0,0.0,67.0,3.758,1.513,8.882,1.184,4.737,11.5,2.5,82.0,-0.1,0.299,0.119,2.5,11.842
stonega01,Gavin Stone,25.0,LAD,NL,11.0,5.0,0.688,3.53,25.0,25.0,0.0,1.0,1.0,0.0,140.1,133.0,55.0,55.0,18.0,37.0,0.0,116.0,2.0,0.0,9.0,580.0,3.907,1.213,8.544,1.156,2.377,7.4,3.14,109.0,1.8,0.2,0.064,3.135,7.452
strahma01,Matt Strahm*,32.0,PHI,NL,6.0,2.0,0.75,1.87,66.0,0.0,10.0,0.0,0.0,3.0,62.2,36.0,14.0,13.0,4.0,11.0,1.0,79.0,6.0,0.0,2.0,237.0,1.926,0.756,5.209,0.579,1.592,11.3,7.18,219.0,2.5,0.333,0.046,7.182,11.431
stratch01,Chris Stratton,33.0,KCR,AL,4.0,3.0,0.571,5.55,57.0,0.0,21.0,0.0,0.0,4.0,58.1,53.0,38.0,36.0,5.0,33.0,1.0,44.0,3.0,0.0,1.0,257.0,4.408,1.48,8.21,0.775,5.112,6.8,1.33,76.0,-0.7,0.171,0.128,1.333,6.816
strathu01,Hunter Stratton,27.0,PIT,NL,2.0,1.0,0.667,3.58,36.0,0.0,8.0,0.0,0.0,1.0,37.2,37.0,17.0,15.0,3.0,7.0,0.0,33.0,3.0,0.0,2.0,158.0,2.939,1.183,8.952,0.726,1.694,7.9,4.71,118.0,0.6,0.209,0.044,4.714,7.984
strichu01,Hunter Strickland,35.0,LAA,AL,3.0,2.0,0.6,3.31,72.0,0.0,10.0,0.0,0.0,1.0,73.1,56.0,31.0,27.0,10.0,24.0,1.0,57.0,2.0,0.0,1.0,294.0,4.304,1.094,6.895,1.231,2.955,7.0,2.38,127.0,1.0,0.194,0.082,2.375,7.018
stridsp01,Spencer Strider,25.0,ATL,NL,0.0,0.0,,7.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,10.0,7.0,7.0,2.0,5.0,0.0,12.0,0.0,0.0,0.0,42.0,4.989,1.667,10.0,2.0,5.0,12.0,2.4,62.0,-0.1,0.286,0.119,2.4,12.0
stripro01,Ross Stripling,34.0,OAK,AL,2.0,11.0,0.154,6.01,22.0,14.0,3.0,0.0,0.0,0.0,85.1,109.0,65.0,57.0,7.0,22.0,2.0,49.0,1.0,1.0,2.0,381.0,3.793,1.539,11.528,0.74,2.327,5.2,2.23,66.0,-1.1,0.129,0.058,2.227,5.182
stromma01,Marcus Stroman,33.0,NYY,AL,10.0,9.0,0.526,4.31,30.0,29.0,1.0,0.0,0.0,1.0,154.2,167.0,81.0,74.0,19.0,60.0,0.0,113.0,8.0,0.0,2.0,675.0,4.404,1.472,9.747,1.109,3.502,6.6,1.88,95.0,0.7,0.167,0.089,1.883,6.595
strzepe01,Peter Strzelecki,29.0,CLE,AL,0.0,0.0,,2.31,10.0,0.0,6.0,0.0,0.0,0.0,11.2,11.0,3.0,3.0,1.0,3.0,0.0,9.0,1.0,0.0,0.0,47.0,3.457,1.25,8.839,0.804,2.411,6.9,3.0,181.0,0.2,0.191,0.064,3.0,7.232
suareal01,Albert Suárez,34.0,BAL,AL,9.0,7.0,0.563,3.7,32.0,24.0,1.0,0.0,0.0,0.0,133.2,130.0,56.0,55.0,17.0,43.0,1.0,108.0,3.0,1.0,2.0,565.0,4.106,1.299,8.784,1.149,2.905,7.3,2.51,101.0,2.1,0.191,0.076,2.512,7.297
suarejo01,José Suarez*,26.0,LAA,AL,1.0,2.0,0.333,6.02,22.0,3.0,7.0,0.0,0.0,1.0,52.1,57.0,38.0,35.0,7.0,27.0,0.0,56.0,4.0,0.0,1.0,240.0,4.252,1.612,9.846,1.209,4.664,9.6,2.07,70.0,-0.6,0.233,0.112,2.074,9.674
suarera01,Ranger Suárez*,28.0,PHI,NL,12.0,8.0,0.6,3.46,27.0,27.0,0.0,1.0,1.0,0.0,150.2,140.0,63.0,58.0,14.0,41.0,1.0,145.0,5.0,2.0,1.0,626.0,3.2,1.205,8.389,0.839,2.457,8.7,3.54,117.0,2.6,0.232,0.065,3.537,8.688
suarero01,Robert Suarez,33.0,SDP,NL,9.0,3.0,0.75,2.77,65.0,0.0,55.0,0.0,0.0,36.0,65.0,52.0,21.0,20.0,7.0,16.0,1.0,59.0,0.0,0.0,1.0,258.0,3.423,1.046,7.2,0.969,2.215,8.2,3.69,149.0,2.0,0.229,0.062,3.688,8.169
sulseco01,Cole Sulser,34.0,TBR,2LG,1.0,0.0,1.0,2.76,10.0,2.0,2.0,0.0,0.0,0.0,16.1,9.0,5.0,5.0,1.0,9.0,1.0,15.0,0.0,0.0,0.0,66.0,3.721,1.118,5.031,0.559,5.031,8.3,1.67,151.0,0.4,0.227,0.136,1.667,8.385
suterbr01,Brent Suter*,34.0,CIN,NL,1.0,0.0,1.0,3.15,47.0,3.0,20.0,0.0,0.0,2.0,65.2,63.0,25.0,23.0,10.0,12.0,0.0,50.0,3.0,0.0,2.0,270.0,4.112,1.15,8.696,1.38,1.656,6.9,4.17,140.0,1.4,0.185,0.044,4.167,6.902
swanser01,Erik Swanson,30.0,TOR,AL,2.0,2.0,0.5,5.03,45.0,0.0,15.0,0.0,0.0,0.0,39.1,36.0,22.0,22.0,11.0,14.0,0.0,37.0,1.0,1.0,0.0,168.0,5.939,1.279,8.286,2.532,3.223,8.5,2.64,81.0,-0.3,0.22,0.083,2.643,8.517
