Player-additional,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,ERA+,WAR,K%,BB%,K/BB,K9
venezan01,Anthony Veneziano*,26.0,MIA,2LG,1.0,0.0,1.0,3.38,12.0,0.0,1.0,0.0,0.0,0.0,13.1,16.0,7.0,5.0,1.0,3.0,0.0,14.0,1.0,0.0,1.0,58.0,2.642,1.45,10.992,0.687,2.061,9.5,4.67,139.0,0.2,0.241,0.052,4.667,9.618
verlaju01,Justin Verlander,41.0,HOU,AL,5.0,6.0,0.455,5.48,17.0,17.0,0.0,0.0,0.0,0.0,90.1,98.0,56.0,55.0,15.0,27.0,0.0,74.0,6.0,1.0,2.0,396.0,4.521,1.387,9.789,1.498,2.697,7.4,2.74,72.0,-0.3,0.187,0.068,2.741,7.392
vesiaal01,Alex Vesia*,28.0,LAD,NL,5.0,4.0,0.556,1.76,67.0,0.0,10.0,0.0,0.0,5.0,66.1,33.0,19.0,13.0,7.0,33.0,3.0,87.0,1.0,0.0,2.0,263.0,3.342,0.998,4.493,0.953,4.493,11.8,2.64,219.0,1.6,0.331,0.125,2.636,11.846
vespini01,Nick Vespi*,28.0,BAL,AL,0.0,0.0,,2.92,11.0,0.0,8.0,0.0,0.0,0.0,12.1,10.0,4.0,4.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,49.0,3.431,1.074,7.438,0.744,2.231,6.6,3.0,132.0,0.2,0.184,0.061,3.0,6.694
vestwi01,Will Vest,29.0,DET,AL,3.0,4.0,0.429,2.82,69.0,0.0,14.0,0.0,0.0,2.0,70.1,61.0,23.0,22.0,3.0,18.0,2.0,63.0,3.0,0.0,4.0,289.0,2.629,1.127,7.832,0.385,2.311,8.1,3.5,145.0,1.5,0.218,0.062,3.5,8.088
vieirth01,Thyago Vieira,31.0,ARI/MIL,2LG,0.0,2.0,0.0,4.855,55.0,0.0,26.0,0.0,0.0,2.0,76.0,73.0,43.0,41.0,16.0,48.0,2.0,78.0,4.0,2.0,5.0,349.0,5.679,1.592,8.645,1.895,5.684,9.2,1.635,89.0,0.2,0.223,0.138,1.625,9.237
vinesda01,Darius Vines,26.0,ATL,NL,0.0,1.0,0.0,8.56,4.0,2.0,1.0,0.0,0.0,0.0,13.2,21.0,14.0,13.0,4.0,4.0,0.0,9.0,1.0,0.0,0.0,66.0,6.585,1.894,14.318,2.727,2.727,5.9,2.25,50.0,-0.5,0.136,0.061,2.25,6.136
vodnivi01,Victor Vodnik,24.0,COL,NL,5.0,4.0,0.556,4.28,64.0,0.0,19.0,0.0,0.0,9.0,73.2,72.0,37.0,35.0,7.0,37.0,1.0,65.0,1.0,0.0,4.0,320.0,4.084,1.489,8.852,0.861,4.549,7.9,1.76,108.0,0.8,0.203,0.116,1.757,7.992
vothau01,Austin Voth,32.0,SEA,AL,2.0,5.0,0.286,3.69,68.0,0.0,17.0,0.0,0.0,0.0,61.0,46.0,31.0,25.0,9.0,18.0,0.0,61.0,3.0,0.0,0.0,248.0,3.903,1.049,6.787,1.328,2.656,9.0,3.39,100.0,-0.2,0.246,0.073,3.389,9.0
wachami01,Michael Wacha,32.0,KCR,AL,13.0,8.0,0.619,3.35,29.0,29.0,0.0,0.0,0.0,0.0,166.2,154.0,65.0,62.0,17.0,45.0,1.0,145.0,5.0,0.0,3.0,685.0,3.497,1.197,8.339,0.921,2.437,7.8,3.22,126.0,3.5,0.212,0.066,3.222,7.852
wagueja01,Jacob Waguespack,30.0,TBR,AL,0.0,0.0,,5.4,4.0,1.0,1.0,0.0,0.0,0.0,10.0,13.0,7.0,6.0,1.0,10.0,0.0,11.0,0.0,0.0,1.0,51.0,5.2,2.3,11.7,0.9,9.0,9.9,1.1,77.0,-0.1,0.216,0.196,1.1,9.9
waldrhu01,Hurston Waldrep,22.0,ATL,NL,0.0,1.0,0.0,16.71,2.0,2.0,0.0,0.0,0.0,0.0,7.0,9.0,13.0,13.0,3.0,8.0,0.0,3.0,1.0,0.0,0.0,36.0,11.243,2.429,11.571,3.857,10.286,3.9,0.38,26.0,-0.6,0.083,0.222,0.375,3.857
waldrma01,Matt Waldron,27.0,SDP,NL,7.0,11.0,0.389,4.91,27.0,26.0,0.0,0.0,0.0,0.0,146.2,145.0,84.0,80.0,21.0,40.0,0.0,133.0,11.0,1.0,5.0,625.0,3.969,1.265,8.926,1.293,2.462,8.2,3.33,84.0,0.8,0.213,0.064,3.325,8.187
walkejo03,Josh Walker*,29.0,NYM,NL,0.0,0.0,,5.11,10.0,0.0,5.0,0.0,0.0,0.0,12.1,13.0,7.0,7.0,1.0,6.0,0.0,11.0,0.0,1.0,2.0,55.0,3.844,1.57,9.669,0.744,4.463,8.0,1.83,79.0,0.0,0.2,0.109,1.833,8.182
walkery01,Ryan Walker,28.0,SFG,NL,10.0,4.0,0.714,1.91,76.0,1.0,22.0,0.0,0.0,10.0,80.0,50.0,19.0,17.0,5.0,18.0,1.0,99.0,9.0,0.0,2.0,308.0,2.112,0.85,5.625,0.562,2.025,11.1,5.5,202.0,2.8,0.321,0.058,5.5,11.138
walketa01,Taijuan Walker,31.0,PHI,NL,3.0,7.0,0.3,7.1,19.0,15.0,1.0,0.0,0.0,0.0,83.2,107.0,68.0,66.0,24.0,37.0,0.0,58.0,3.0,0.0,0.0,381.0,6.79,1.731,11.575,2.596,4.002,6.2,1.57,57.0,-1.6,0.152,0.097,1.568,6.274
walstbl01,Blake Walston*,23.0,ARI,NL,1.0,0.0,1.0,4.42,7.0,2.0,3.0,0.0,0.0,0.0,18.1,16.0,12.0,9.0,4.0,10.0,0.0,18.0,3.0,0.0,0.0,83.0,5.641,1.436,7.956,1.989,4.972,8.8,1.8,96.0,-0.1,0.217,0.12,1.8,8.95
waltean01,Andrew Walters,23.0,CLE,AL,1.0,0.0,1.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,8.2,1.0,1.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,1.0,32.0,3.466,0.732,1.098,0.0,5.488,6.2,1.2,,0.3,0.188,0.156,1.2,6.585
warreau01,Austin Warren,28.0,SFG,NL,0.0,0.0,,1.69,6.0,0.0,3.0,0.0,0.0,0.0,10.2,9.0,2.0,2.0,1.0,5.0,0.0,7.0,0.0,0.0,0.0,42.0,4.473,1.373,7.941,0.882,4.412,5.9,1.4,237.0,0.3,0.167,0.119,1.4,6.176
warrewi01,Will Warren,25.0,NYY,AL,0.0,3.0,0.0,10.32,6.0,5.0,1.0,0.0,0.0,0.0,22.2,33.0,27.0,26.0,5.0,10.0,0.0,29.0,1.0,2.0,0.0,110.0,4.767,1.937,13.378,2.027,4.054,11.5,2.9,40.0,-1.2,0.264,0.091,2.9,11.757
weathry01,Ryan Weathers*,24.0,MIA,NL,5.0,6.0,0.455,3.63,16.0,16.0,0.0,0.0,0.0,0.0,86.2,78.0,39.0,35.0,11.0,24.0,1.0,80.0,9.0,1.0,2.0,367.0,3.738,1.183,8.144,1.148,2.506,8.3,3.33,125.0,2.1,0.218,0.065,3.333,8.353
weavelu01,Luke Weaver,30.0,NYY,AL,7.0,3.0,0.7,2.89,62.0,0.0,12.0,0.0,0.0,4.0,84.0,52.0,28.0,27.0,10.0,26.0,0.0,103.0,4.0,0.0,1.0,331.0,3.124,0.929,5.571,1.071,2.786,11.0,3.96,142.0,1.9,0.311,0.079,3.962,11.036
webbja01,Jacob Webb,30.0,BAL,AL,2.0,5.0,0.286,3.02,60.0,0.0,8.0,0.0,0.0,2.0,56.2,40.0,23.0,19.0,4.0,27.0,1.0,58.0,1.0,0.0,0.0,237.0,3.402,1.192,6.406,0.641,4.324,9.2,2.15,125.0,0.9,0.245,0.114,2.148,9.288
webblo01,Logan Webb,27.0,SFG,NL,13.0,10.0,0.565,3.47,33.0,33.0,0.0,1.0,1.0,0.0,204.2,202.0,83.0,79.0,11.0,50.0,3.0,172.0,2.0,1.0,4.0,841.0,2.85,1.234,8.903,0.485,2.204,7.6,3.44,111.0,3.7,0.205,0.059,3.44,7.581
weemsjo01,Jordan Weems,31.0,WSN,NL,1.0,1.0,0.5,6.7,41.0,0.0,10.0,0.0,0.0,0.0,41.2,49.0,35.0,31.0,7.0,24.0,0.0,35.0,2.0,0.0,1.0,196.0,5.357,1.772,10.704,1.529,5.243,7.6,1.46,60.0,-1.0,0.179,0.122,1.458,7.646
weissgr01,Greg Weissert,29.0,BOS,AL,4.0,2.0,0.667,3.13,62.0,0.0,16.0,0.0,0.0,1.0,63.1,65.0,32.0,22.0,7.0,20.0,4.0,58.0,0.0,0.0,2.0,263.0,3.655,1.347,9.271,0.998,2.853,8.2,2.9,137.0,0.6,0.221,0.076,2.9,8.273
wellsty01,Tyler Wells,29.0,BAL,AL,0.0,2.0,0.0,5.87,3.0,3.0,0.0,0.0,0.0,0.0,15.1,18.0,11.0,10.0,3.0,3.0,0.0,13.0,0.0,0.0,0.0,67.0,4.557,1.391,10.728,1.788,1.788,7.6,4.33,65.0,-0.3,0.194,0.045,4.333,7.748
wentzjo01,Joey Wentz*,26.0,DET/PIT,2LG,1.0,2.0,0.333,4.68,46.0,0.0,16.0,0.0,0.0,1.0,67.1,66.0,37.0,35.0,8.0,33.0,1.0,73.0,4.0,2.0,3.0,304.0,3.949,1.475,8.852,1.073,4.426,9.8,2.21,88.0,0.1,0.24,0.109,2.212,9.791
wesneha01,Hayden Wesneski,26.0,CHC,NL,3.0,6.0,0.333,3.86,28.0,7.0,2.0,0.0,0.0,0.0,67.2,56.0,37.0,29.0,12.0,21.0,0.0,67.0,2.0,1.0,1.0,283.0,4.365,1.146,7.5,1.607,2.812,8.9,3.19,104.0,-0.3,0.237,0.074,3.19,8.973
wheelza01,Zack Wheeler,34.0,PHI,NL,16.0,7.0,0.696,2.57,32.0,32.0,0.0,0.0,0.0,0.0,200.0,139.0,62.0,57.0,20.0,52.0,0.0,224.0,8.0,0.0,8.0,787.0,2.94,0.955,6.255,0.9,2.34,10.1,4.31,158.0,6.1,0.285,0.066,4.308,10.08
whitemi03,Mitch White,29.0,MIL/SFG/TOR,2LG,1.0,2.0,0.25,7.712,22.0,0.0,16.0,0.0,0.0,0.0,36.4,42.0,36.0,32.0,7.0,22.0,4.0,20.0,2.0,0.0,2.0,178.0,6.314,1.758,10.385,1.731,5.44,4.791,0.92,54.5,-1.1,0.112,0.124,0.909,4.945
whitlga01,Garrett Whitlock,28.0,BOS,AL,1.0,0.0,1.0,1.96,4.0,4.0,0.0,0.0,0.0,0.0,18.1,14.0,4.0,4.0,1.0,7.0,0.0,17.0,1.0,0.0,0.0,75.0,3.1,1.16,6.961,0.497,3.481,8.3,2.43,221.0,0.9,0.227,0.093,2.429,8.453
wicksjo01,Jordan Wicks*,24.0,CHC,NL,2.0,4.0,0.333,5.48,11.0,10.0,0.0,0.0,0.0,0.0,46.0,55.0,31.0,28.0,9.0,20.0,0.0,42.0,2.0,0.0,3.0,212.0,5.122,1.63,10.761,1.761,3.913,8.2,2.1,73.0,-0.5,0.198,0.094,2.1,8.217
willibr02,Brandon Williamson*,26.0,CIN,NL,0.0,0.0,,3.77,4.0,3.0,0.0,0.0,0.0,0.0,14.1,10.0,7.0,6.0,4.0,5.0,0.0,12.0,2.0,0.0,0.0,59.0,6.15,1.064,6.383,2.553,3.191,7.5,2.4,119.0,0.3,0.203,0.085,2.4,7.66
willide03,Devin Williams,29.0,MIL,NL,1.0,0.0,1.0,1.25,22.0,0.0,19.0,0.0,0.0,14.0,21.2,10.0,3.0,3.0,1.0,11.0,1.0,38.0,2.0,0.0,1.0,88.0,1.685,0.991,4.245,0.425,4.67,15.8,3.45,341.0,1.4,0.432,0.125,3.455,16.132
williga01,Gavin Williams,24.0,CLE,AL,3.0,10.0,0.231,4.86,16.0,16.0,0.0,0.0,0.0,0.0,76.0,72.0,42.0,41.0,7.0,32.0,0.0,79.0,3.0,0.0,2.0,332.0,3.482,1.368,8.526,0.829,3.789,9.4,2.47,84.0,-0.1,0.238,0.096,2.469,9.355
willitr01,Trevor Williams,32.0,WSN,NL,6.0,1.0,0.857,2.03,13.0,13.0,0.0,0.0,0.0,0.0,66.2,51.0,17.0,15.0,3.0,18.0,0.0,59.0,0.0,1.0,0.0,260.0,2.722,1.042,6.934,0.408,2.447,8.0,3.28,199.0,2.6,0.227,0.069,3.278,8.021
wilsobr02,Bryse Wilson,26.0,MIL,NL,5.0,4.0,0.556,4.04,34.0,9.0,7.0,0.0,0.0,0.0,104.2,102.0,49.0,47.0,20.0,31.0,0.0,82.0,4.0,1.0,3.0,442.0,4.914,1.276,8.81,1.727,2.678,7.1,2.65,104.0,0.9,0.186,0.07,2.645,7.083
wilsoju10,Justin Wilson*,36.0,CIN,NL,1.0,5.0,0.167,5.59,60.0,0.0,15.0,0.0,0.0,2.0,46.2,55.0,30.0,29.0,10.0,13.0,1.0,51.0,2.0,0.0,3.0,209.0,4.55,1.472,10.714,1.948,2.532,9.8,3.92,79.0,-0.2,0.244,0.062,3.923,9.935
wilsost02,Steven Wilson,29.0,CHW,AL,1.0,6.0,0.143,5.71,40.0,0.0,12.0,0.0,0.0,0.0,34.2,29.0,29.0,22.0,8.0,26.0,6.0,34.0,3.0,1.0,1.0,163.0,6.433,1.608,7.632,2.105,6.842,8.8,1.31,73.0,-0.7,0.209,0.16,1.308,8.947
winanal01,Allan Winans,28.0,ATL,NL,0.0,2.0,0.0,15.26,2.0,2.0,0.0,0.0,0.0,0.0,7.2,14.0,14.0,13.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,41.0,9.072,2.5,17.5,3.75,5.0,4.7,1.0,28.0,-0.6,0.098,0.098,1.0,5.0
winckjo01,Josh Winckowski,26.0,BOS,AL,4.0,2.0,0.667,4.14,40.0,6.0,16.0,0.0,0.0,2.0,76.0,81.0,44.0,35.0,10.0,26.0,3.0,60.0,4.0,0.0,1.0,336.0,4.258,1.408,9.592,1.184,3.079,7.1,2.31,103.0,0.4,0.179,0.077,2.308,7.105
windejo01,Josh Winder,27.0,MIN,AL,0.0,0.0,,3.0,4.0,0.0,2.0,0.0,0.0,0.0,9.0,7.0,4.0,3.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,38.0,1.211,0.889,7.0,0.0,1.0,10.0,10.0,144.0,0.1,0.263,0.026,10.0,10.0
wingetr01,Trey Wingenter,30.0,CHC,2LG,0.0,0.0,,9.72,7.0,0.0,5.0,0.0,0.0,0.0,8.1,13.0,9.0,9.0,2.0,4.0,0.0,6.0,0.0,0.0,1.0,42.0,6.31,2.099,14.444,2.222,4.444,6.5,1.5,45.0,-0.2,0.143,0.095,1.5,6.667
winnco01,Cole Winn,24.0,TEX,AL,0.0,1.0,0.0,7.79,13.0,0.0,8.0,0.0,0.0,0.0,17.1,18.0,15.0,15.0,2.0,4.0,0.0,14.0,3.0,0.0,1.0,77.0,3.685,1.287,9.474,1.053,2.105,7.3,3.5,52.0,-0.4,0.182,0.052,3.5,7.368
winnke01,Keaton Winn,26.0,SFG,NL,3.0,8.0,0.273,7.16,12.0,12.0,0.0,0.0,0.0,0.0,55.1,56.0,44.0,44.0,9.0,20.0,0.0,48.0,4.0,0.0,1.0,238.0,4.57,1.379,9.147,1.47,3.267,7.8,2.4,54.0,-1.1,0.202,0.084,2.4,7.84
woobr01,Bryan Woo,24.0,SEA,AL,9.0,3.0,0.75,2.89,22.0,22.0,0.0,0.0,0.0,0.0,121.1,96.0,41.0,39.0,14.0,13.0,0.0,101.0,3.0,0.0,0.0,472.0,3.257,0.9,7.135,1.04,0.966,7.5,7.77,127.0,2.4,0.214,0.028,7.769,7.506
woodal02,Alex Wood*,33.0,OAK,AL,1.0,3.0,0.25,5.26,9.0,9.0,0.0,0.0,0.0,0.0,39.1,51.0,27.0,23.0,6.0,19.0,1.0,33.0,5.0,1.0,0.0,186.0,4.865,1.79,11.739,1.381,4.373,7.6,1.74,76.0,-0.2,0.177,0.102,1.737,7.596
woodfja01,Jake Woodford,27.0,CHW/PIT,2LG,0.0,6.0,0.0,7.97,9.0,7.0,1.0,0.0,0.0,0.0,35.0,48.0,37.0,31.0,6.0,9.0,0.0,26.0,3.0,0.0,2.0,167.0,4.614,1.629,12.343,1.543,2.314,6.7,2.89,53.0,-1.3,0.156,0.054,2.889,6.686
woodssi01,Simeon Woods Richardson,23.0,MIN,AL,5.0,5.0,0.5,4.17,28.0,28.0,0.0,0.0,0.0,0.0,133.2,125.0,63.0,62.0,16.0,48.0,0.0,117.0,3.0,0.0,3.0,569.0,3.986,1.299,8.446,1.081,3.243,7.9,2.44,99.0,2.0,0.206,0.084,2.438,7.905
wroblju01,Justin Wrobleski*,23.0,LAD,NL,1.0,2.0,0.333,5.7,8.0,6.0,1.0,0.0,0.0,1.0,36.1,34.0,24.0,23.0,9.0,16.0,0.0,26.0,1.0,0.0,1.0,154.0,6.23,1.385,8.476,2.244,3.989,6.4,1.63,68.0,-0.4,0.169,0.104,1.625,6.482
yamamyo01,Yoshinobu Yamamoto,25.0,LAD,NL,7.0,2.0,0.778,3.0,18.0,18.0,0.0,0.0,0.0,0.0,90.0,78.0,32.0,30.0,7.0,22.0,0.0,105.0,1.0,0.0,2.0,368.0,2.511,1.111,7.8,0.7,2.2,10.5,4.77,129.0,1.7,0.285,0.06,4.773,10.5
yarbrry01,Ryan Yarbrough*,32.0,LAD/TOR,2LG,5.0,2.0,0.714,3.19,44.0,0.0,12.0,0.0,0.0,1.0,98.2,70.0,36.0,35.0,11.0,32.0,3.0,65.0,12.0,0.0,0.0,398.0,4.21,1.039,6.415,1.008,2.933,5.9,2.03,123.0,1.2,0.163,0.08,2.031,5.957
yateski01,Kirby Yates,37.0,TEX,AL,7.0,2.0,0.778,1.17,61.0,0.0,50.0,0.0,0.0,33.0,61.2,23.0,10.0,8.0,3.0,28.0,5.0,85.0,2.0,2.0,1.0,237.0,2.332,0.833,3.382,0.441,4.118,12.4,3.04,340.0,3.3,0.359,0.118,3.036,12.5
youngal01,Alex Young*,30.0,NYM,NL,0.0,0.0,,2.87,17.0,0.0,8.0,0.0,0.0,0.0,15.2,15.0,5.0,5.0,2.0,7.0,0.0,15.0,0.0,0.0,0.0,68.0,4.218,1.447,8.882,1.184,4.145,8.6,2.14,146.0,0.3,0.221,0.103,2.143,8.882
youngda02,Danny Young*,30.0,NYM,NL,4.0,1.0,0.8,4.54,42.0,0.0,13.0,0.0,0.0,0.0,37.2,29.0,22.0,19.0,3.0,18.0,1.0,48.0,7.0,0.0,5.0,165.0,3.019,1.263,7.016,0.726,4.355,11.5,2.67,87.0,-0.2,0.291,0.109,2.667,11.613
zastrro01,Rob Zastryzny*,32.0,MIL,NL,1.0,0.0,1.0,1.17,9.0,3.0,2.0,0.0,0.0,0.0,7.2,4.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,29.0,2.128,0.694,5.0,0.0,1.25,5.9,5.0,373.0,0.3,0.172,0.034,5.0,6.25
zeferry01,Ryan Zeferjahn,26.0,LAA,AL,0.0,0.0,,2.12,12.0,0.0,4.0,0.0,0.0,0.0,17.0,7.0,4.0,4.0,0.0,6.0,1.0,18.0,2.0,0.0,0.0,64.0,2.041,0.765,3.706,0.0,3.176,9.5,3.0,202.0,0.5,0.281,0.094,3.0,9.529
zerpaan01,Ángel Zerpa*,24.0,KCR,AL,2.0,0.0,1.0,3.86,60.0,0.0,3.0,0.0,0.0,0.0,53.2,59.0,24.0,23.0,6.0,19.0,2.0,49.0,2.0,0.0,3.0,239.0,3.795,1.466,9.981,1.015,3.214,8.2,2.58,110.0,0.6,0.205,0.079,2.579,8.289
zulueyo01,Yosver Zulueta,26.0,CIN,NL,0.0,0.0,,4.96,12.0,0.0,6.0,0.0,0.0,0.0,16.1,15.0,10.0,9.0,2.0,7.0,0.0,20.0,1.0,0.0,1.0,69.0,3.535,1.366,8.385,1.118,3.913,11.0,2.86,90.0,0.1,0.29,0.101,2.857,11.18
zuniggu01,Guillo Zuñiga,25.0,LAA,AL,0.0,0.0,,5.09,15.0,0.0,6.0,0.0,0.0,2.0,17.2,16.0,10.0,10.0,5.0,8.0,2.0,12.0,1.0,0.0,1.0,76.0,6.879,1.395,8.372,2.616,4.186,6.1,1.5,84.0,-0.1,0.158,0.105,1.5,6.279
