Player-additional,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,ERA+,WAR
feltnry01,Ryan Feltner,27.0,COL,NL,3.0,10.0,0.231,4.49,30.0,30.0,0.0,0.0,0.0,0.0,162.1,165.0,94.0,81.0,20.0,52.0,0.0,138.0,7.0,0.0,4.0,692.0,4.16,1.337,9.1,1.1,2.9,7.7,2.65,102.0,1.2
ferguca01,Caleb Ferguson*,27.0,HOU/NYY,AL,1.0,4.0,0.2,4.64,62.0,0.0,19.0,0.0,0.0,1.0,54.1,56.0,34.0,28.0,6.0,25.0,1.0,67.0,4.0,0.0,3.0,249.0,3.74,1.491,9.3,1.0,4.1,11.1,2.68,88.0,-0.5
ferguty01,Tyler Ferguson,30.0,OAK,AL,4.0,2.0,0.667,3.68,48.0,0.0,15.0,0.0,0.0,2.0,51.1,32.0,23.0,21.0,4.0,24.0,2.0,62.0,2.0,1.0,1.0,207.0,3.28,1.091,5.6,0.7,4.2,10.9,2.58,108.0,0.7
fernary01,Ryan Fernandez,26.0,STL,NL,1.0,6.0,0.143,3.51,62.0,0.0,16.0,0.0,0.0,2.0,66.2,58.0,30.0,26.0,4.0,32.0,5.0,71.0,2.0,0.0,0.0,285.0,3.35,1.35,7.8,0.5,4.3,9.6,2.22,120.0,1.0
ferrejo01,Jose A. Ferrer*,24.0,WSN,NL,1.0,0.0,1.0,3.38,31.0,0.0,6.0,0.0,0.0,1.0,32.0,27.0,12.0,12.0,1.0,6.0,0.0,25.0,2.0,1.0,1.0,129.0,2.76,1.031,7.6,0.3,1.7,7.0,4.17,120.0,0.5
festada01,David Festa,24.0,MIN,AL,2.0,6.0,0.25,4.9,14.0,13.0,0.0,0.0,0.0,0.0,64.1,62.0,36.0,35.0,9.0,23.0,0.0,77.0,2.0,1.0,2.0,277.0,3.76,1.321,8.7,1.3,3.2,10.8,3.35,85.0,0.4
festama01,Matt Festa,31.0,TEX,2LG,6.0,1.0,0.857,5.7,19.0,0.0,4.0,0.0,0.0,0.0,23.2,21.0,18.0,15.0,2.0,8.0,1.0,24.0,1.0,0.0,0.0,100.0,3.38,1.225,8.0,0.8,3.0,9.1,3.0,71.0,-0.8
feyerjo01,J.P. Feyereisen,31.0,LAD,NL,0.0,1.0,0.0,8.18,10.0,0.0,6.0,0.0,0.0,1.0,11.0,11.0,10.0,10.0,3.0,5.0,0.0,9.0,1.0,0.0,0.0,48.0,6.71,1.455,9.0,2.5,4.1,7.4,1.8,49.0,-0.3
finneky01,Kyle Finnegan,32.0,WSN,NL,3.0,8.0,0.273,3.68,65.0,0.0,58.0,0.0,0.0,38.0,63.2,61.0,31.0,26.0,9.0,24.0,3.0,60.0,0.0,0.0,2.0,271.0,4.25,1.335,8.6,1.3,3.4,8.5,2.5,110.0,1.0
fittsri01,Richard Fitts,24.0,BOS,AL,0.0,1.0,0.0,1.74,4.0,4.0,0.0,0.0,0.0,0.0,20.2,19.0,6.0,4.0,0.0,7.0,0.0,9.0,0.0,0.0,1.0,85.0,3.31,1.258,8.3,0.0,3.0,3.9,1.29,249.0,0.6
flaheja01,Jack Flaherty,28.0,DET/LAD,2LG,13.0,7.0,0.65,3.17,28.0,28.0,0.0,0.0,0.0,0.0,162.0,135.0,61.0,57.0,24.0,38.0,0.0,194.0,4.0,0.0,6.0,649.0,3.48,1.068,7.5,1.3,2.1,10.8,5.11,127.0,3.1
flemijo01,Josh Fleming*,28.0,PIT,NL,1.0,1.0,0.5,4.02,25.0,3.0,9.0,0.0,0.0,1.0,31.1,34.0,18.0,14.0,3.0,14.0,0.0,17.0,1.0,0.0,1.0,138.0,4.76,1.532,9.8,0.9,4.0,4.9,1.21,105.0,0.0
flexech01,Chris Flexen,29.0,CHW,AL,3.0,15.0,0.167,4.95,33.0,30.0,0.0,0.0,0.0,0.0,160.0,180.0,95.0,88.0,24.0,63.0,1.0,123.0,2.0,2.0,4.0,707.0,4.8,1.519,10.1,1.4,3.5,6.9,1.95,83.0,1.6
florody01,Dylan Floro,33.0,ARI/WSN,NL,6.0,4.0,0.6,3.8,66.0,0.0,10.0,0.0,0.0,0.0,68.2,65.0,31.0,29.0,5.0,17.0,0.0,48.0,1.0,0.0,1.0,279.0,3.5,1.194,8.5,0.7,2.2,6.3,2.82,108.0,0.8
foleyja01,Jason Foley,28.0,DET,AL,3.0,6.0,0.333,3.15,69.0,0.0,41.0,0.0,0.0,28.0,60.0,51.0,28.0,21.0,5.0,20.0,2.0,46.0,2.0,1.0,1.0,250.0,3.82,1.183,7.7,0.8,3.0,6.9,2.3,130.0,0.8
fostema01,Matt Foster,29.0,CHW,AL,0.0,1.0,0.0,2.7,6.0,1.0,1.0,0.0,0.0,0.0,6.2,5.0,2.0,2.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,30.0,6.17,1.5,6.8,1.4,6.8,5.4,0.8,160.0,0.3
francbo01,Bowden Francis,28.0,TOR,AL,8.0,5.0,0.615,3.3,27.0,13.0,7.0,0.0,0.0,0.0,103.2,74.0,41.0,38.0,17.0,22.0,0.0,92.0,7.0,1.0,0.0,408.0,4.36,0.926,6.4,1.5,1.9,8.0,4.18,122.0,1.6
francjp01,J.P. France,29.0,HOU,AL,0.0,3.0,0.0,7.46,5.0,5.0,0.0,0.0,0.0,0.0,25.1,31.0,21.0,21.0,5.0,12.0,0.0,22.0,1.0,1.0,3.0,121.0,5.54,1.697,11.0,1.8,4.3,7.8,1.83,54.0,-0.5
freelky01,Kyle Freeland*,31.0,COL,NL,5.0,8.0,0.385,5.24,21.0,21.0,0.0,0.0,0.0,0.0,113.1,134.0,73.0,66.0,22.0,26.0,0.0,85.0,1.0,0.0,1.0,490.0,4.91,1.412,10.6,1.7,2.1,6.8,3.27,88.0,0.0
friaslu01,Luis Frías,26.0,ARI,2LG,0.0,1.0,0.0,13.97,11.0,0.0,5.0,0.0,0.0,0.0,9.2,19.0,16.0,15.0,2.0,7.0,0.0,12.0,0.0,0.0,2.0,53.0,5.55,2.69,17.7,1.9,6.5,11.2,1.71,32.0,-0.8
friedma01,Max Fried*,30.0,ATL,NL,11.0,10.0,0.524,3.25,29.0,29.0,0.0,2.0,1.0,0.0,174.1,146.0,71.0,63.0,13.0,57.0,0.0,166.0,7.0,0.0,6.0,714.0,3.33,1.164,7.5,0.7,2.9,8.6,2.91,128.0,3.5
fulmeca01,Carson Fulmer,30.0,LAA,AL,0.0,5.0,0.0,4.15,37.0,8.0,16.0,0.0,0.0,0.0,86.2,81.0,45.0,40.0,11.0,40.0,4.0,81.0,5.0,2.0,5.0,379.0,4.51,1.396,8.4,1.1,4.2,8.4,2.03,101.0,0.8
fundeko01,Kody Funderburk*,27.0,MIN,AL,1.0,0.0,1.0,6.49,27.0,0.0,6.0,0.0,0.0,1.0,34.2,41.0,26.0,25.0,4.0,15.0,0.0,32.0,5.0,1.0,4.0,161.0,4.55,1.615,10.6,1.0,3.9,8.3,2.13,64.0,-0.6
gaddihu01,Hunter Gaddis,26.0,CLE,AL,6.0,3.0,0.667,1.57,78.0,0.0,8.0,0.0,0.0,0.0,74.2,43.0,16.0,13.0,4.0,14.0,1.0,66.0,4.0,0.0,2.0,278.0,2.82,0.763,5.2,0.5,1.7,8.0,4.71,260.0,2.6
gallegi01,Giovanny Gallegos,32.0,STL,NL,2.0,1.0,0.667,6.53,21.0,0.0,6.0,0.0,0.0,1.0,20.2,24.0,15.0,15.0,6.0,10.0,0.0,21.0,0.0,0.0,1.0,94.0,6.36,1.645,10.5,2.6,4.4,9.1,2.1,65.0,-0.3
galleza01,Zac Gallen,28.0,ARI,NL,14.0,6.0,0.7,3.65,28.0,28.0,0.0,0.0,0.0,0.0,148.0,133.0,62.0,60.0,13.0,54.0,0.0,156.0,4.0,0.0,5.0,621.0,3.38,1.264,8.1,0.8,3.3,9.5,2.89,115.0,2.7
garabge01,Gerson Garabito,28.0,TEX,AL,0.0,2.0,0.0,4.78,18.0,2.0,10.0,0.0,0.0,0.0,26.1,23.0,15.0,14.0,4.0,12.0,0.0,22.0,4.0,0.0,1.0,115.0,5.29,1.329,7.9,1.4,4.1,7.5,1.83,84.0,-0.1
garcide01,Deivi García,25.0,CHW,AL,1.0,2.0,0.333,7.07,14.0,0.0,3.0,0.0,0.0,1.0,14.0,16.0,16.0,11.0,2.0,11.0,1.0,15.0,0.0,0.0,4.0,68.0,5.24,1.929,10.3,1.3,7.1,9.6,1.36,60.0,-0.7
garcilu03,Luis García,37.0,BOS/LAA,AL,5.0,1.0,0.833,4.88,60.0,0.0,10.0,0.0,0.0,4.0,59.0,61.0,36.0,32.0,8.0,15.0,2.0,53.0,3.0,0.0,5.0,254.0,4.05,1.288,9.3,1.2,2.3,8.1,3.53,87.0,-0.3
garciro04,Robert Garcia*,28.0,WSN,NL,3.0,6.0,0.333,4.22,72.0,0.0,6.0,0.0,0.0,0.0,59.2,55.0,34.0,28.0,4.0,16.0,1.0,75.0,1.0,0.0,4.0,251.0,2.38,1.19,8.3,0.6,2.4,11.3,4.69,96.0,-0.2
garciyi01,Yimi García,33.0,SEA/TOR,AL,3.0,0.0,1.0,3.46,39.0,0.0,8.0,0.0,0.0,5.0,39.0,23.0,15.0,15.0,6.0,12.0,3.0,49.0,2.0,0.0,1.0,153.0,3.73,0.897,5.3,1.4,2.8,11.3,4.08,116.0,0.5
garream01,Amir Garrett*,32.0,LAA,AL,0.0,0.0,,5.06,6.0,0.0,1.0,0.0,0.0,0.0,5.1,4.0,3.0,3.0,1.0,5.0,0.0,11.0,0.0,0.0,0.0,24.0,4.29,1.688,6.8,1.7,8.4,18.6,2.2,88.0,0.0
garrebr01,Braxton Garrett*,26.0,MIA,NL,2.0,2.0,0.5,5.35,7.0,7.0,0.0,1.0,1.0,0.0,37.0,40.0,24.0,22.0,5.0,4.0,0.0,34.0,5.0,0.0,1.0,161.0,3.82,1.189,9.7,1.2,1.0,8.3,8.5,85.0,0.3
garrere01,Reed Garrett,31.0,NYM,NL,8.0,5.0,0.615,3.77,53.0,0.0,13.0,0.0,0.0,4.0,57.1,50.0,28.0,24.0,6.0,30.0,1.0,83.0,2.0,0.0,3.0,247.0,3.31,1.395,7.8,0.9,4.7,13.0,2.77,105.0,0.2
gassero01,Robert Gasser*,25.0,MIL,NL,2.0,0.0,1.0,2.57,5.0,5.0,0.0,0.0,0.0,0.0,28.0,28.0,9.0,8.0,2.0,1.0,0.0,16.0,3.0,0.0,0.0,114.0,3.38,1.036,9.0,0.6,0.3,5.1,16.0,165.0,0.6
gausmke01,Kevin Gausman,33.0,TOR,AL,14.0,11.0,0.56,3.83,31.0,31.0,0.0,2.0,1.0,0.0,181.0,165.0,86.0,77.0,20.0,56.0,0.0,162.0,2.0,2.0,3.0,756.0,3.77,1.221,8.2,1.0,2.8,8.1,2.89,105.0,0.9
germado01,Domingo Germán,31.0,PIT,NL,0.0,1.0,0.0,7.84,7.0,2.0,3.0,0.0,0.0,0.0,20.2,25.0,19.0,18.0,4.0,13.0,1.0,18.0,2.0,1.0,2.0,100.0,6.12,1.839,10.9,1.7,5.7,7.8,1.38,54.0,-0.5
gibsoky01,Kyle Gibson,36.0,STL,NL,8.0,8.0,0.5,4.24,30.0,30.0,0.0,0.0,0.0,0.0,169.2,161.0,91.0,80.0,23.0,68.0,1.0,151.0,4.0,0.0,5.0,722.0,4.42,1.35,8.5,1.2,3.6,8.0,2.22,99.0,0.9
gilbelo01,Logan Gilbert,27.0,SEA,AL,9.0,12.0,0.429,3.23,33.0,33.0,0.0,1.0,0.0,0.0,208.2,148.0,83.0,75.0,26.0,37.0,1.0,220.0,4.0,0.0,11.0,803.0,3.27,0.887,6.4,1.1,1.6,9.5,5.95,113.0,2.8
gilbety01,Tyler Gilbert*,30.0,PHI,NL,0.0,0.0,,3.24,6.0,0.0,2.0,0.0,0.0,0.0,8.1,10.0,3.0,3.0,1.0,2.0,0.0,4.0,1.0,0.0,1.0,38.0,4.85,1.44,10.8,1.1,2.2,4.3,2.0,131.0,0.1
gillalo01,Logan Gillaspie,27.0,SDP,NL,0.0,0.0,,7.15,9.0,0.0,4.0,0.0,0.0,0.0,11.1,15.0,9.0,9.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,49.0,4.49,1.324,11.9,1.6,0.0,5.6,0.0,59.0,-0.1
gillico01,Connor Gillispie,26.0,CLE,AL,0.0,0.0,,2.25,3.0,0.0,2.0,0.0,0.0,0.0,8.0,4.0,2.0,2.0,0.0,5.0,0.0,8.0,0.0,0.0,1.0,32.0,3.04,1.125,4.5,0.0,5.6,9.0,1.6,189.0,0.2
gillu01,Luis Gil,26.0,NYY,AL,15.0,7.0,0.682,3.5,29.0,29.0,0.0,0.0,0.0,0.0,151.2,104.0,60.0,59.0,18.0,77.0,0.0,171.0,8.0,2.0,6.0,637.0,4.14,1.193,6.2,1.1,4.6,10.1,2.22,117.0,3.1
ginkeke01,Kevin Ginkel,30.0,ARI,NL,8.0,3.0,0.727,3.21,72.0,0.0,16.0,0.0,0.0,5.0,70.0,69.0,31.0,25.0,6.0,15.0,0.0,77.0,3.0,0.0,4.0,291.0,2.85,1.2,8.9,0.8,1.9,9.9,5.13,131.0,0.8
ginnjt01,J.T. Ginn,25.0,OAK,AL,1.0,1.0,0.5,4.24,8.0,6.0,1.0,0.0,0.0,0.0,34.0,36.0,16.0,16.0,4.0,9.0,1.0,29.0,2.0,0.0,0.0,142.0,3.96,1.324,9.5,1.1,2.4,7.7,3.22,94.0,0.5
glasnty01,Tyler Glasnow,30.0,LAD,NL,9.0,6.0,0.6,3.49,22.0,22.0,0.0,0.0,0.0,0.0,134.0,92.0,53.0,52.0,15.0,35.0,0.0,168.0,0.0,1.0,12.0,522.0,2.9,0.948,6.2,1.0,2.4,11.3,4.8,111.0,1.9
gombeau01,Austin Gomber*,30.0,COL,NL,5.0,12.0,0.294,4.75,30.0,30.0,0.0,0.0,0.0,0.0,165.0,178.0,89.0,87.0,30.0,38.0,0.0,116.0,1.0,0.0,3.0,696.0,4.83,1.309,9.7,1.6,2.1,6.3,3.05,97.0,2.2
gomezyo01,Yoendrys Gómez,24.0,NYY,AL,0.0,0.0,,3.97,5.0,0.0,3.0,0.0,0.0,0.0,11.1,11.0,5.0,5.0,2.0,7.0,0.0,10.0,1.0,0.0,1.0,54.0,5.81,1.588,8.7,1.6,5.6,7.9,1.43,107.0,0.1
gonzama02,Marco Gonzales*,32.0,PIT,NL,1.0,1.0,0.5,4.54,7.0,7.0,0.0,0.0,0.0,0.0,33.2,43.0,17.0,17.0,5.0,11.0,0.0,23.0,0.0,0.0,0.0,151.0,4.71,1.604,11.5,1.3,2.9,6.1,2.09,93.0,0.5
gonzavi02,Victor González*,28.0,NYY,AL,2.0,1.0,0.667,3.86,27.0,0.0,8.0,0.0,0.0,2.0,23.1,13.0,12.0,10.0,3.0,13.0,0.0,11.0,3.0,0.0,0.0,97.0,5.95,1.114,5.0,1.2,5.0,4.2,0.85,108.0,0.1
gordota01,Tanner Gordon,26.0,COL,NL,0.0,6.0,0.0,8.65,8.0,8.0,0.0,0.0,0.0,0.0,34.1,53.0,34.0,33.0,10.0,6.0,0.0,26.0,2.0,0.0,0.0,160.0,6.14,1.718,13.9,2.6,1.6,6.8,4.33,54.0,-1.1
gorema01,MacKenzie Gore*,25.0,WSN,NL,10.0,12.0,0.455,3.9,32.0,32.0,0.0,0.0,0.0,0.0,166.1,171.0,93.0,72.0,15.0,65.0,0.0,181.0,11.0,0.0,14.0,731.0,3.53,1.419,9.3,0.8,3.5,9.8,2.78,103.0,0.8
gracego01,Gordon Graceffo,24.0,STL,NL,0.0,1.0,0.0,4.7,2.0,1.0,1.0,0.0,0.0,0.0,7.2,7.0,4.0,4.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,31.0,4.08,1.174,8.2,1.2,2.3,7.0,3.0,93.0,0.0
gratebr01,Brusdar Graterol,25.0,LAD,NL,0.0,0.0,,2.45,7.0,0.0,2.0,0.0,0.0,0.0,7.1,3.0,2.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,27.0,2.08,0.682,3.7,0.0,2.5,8.6,3.5,165.0,0.1
grayjo02,Jon Gray,32.0,TEX,AL,5.0,6.0,0.455,4.47,23.0,19.0,2.0,0.0,0.0,0.0,102.2,107.0,54.0,51.0,11.0,28.0,1.0,86.0,0.0,0.0,1.0,439.0,3.7,1.315,9.4,1.0,2.5,7.5,3.07,88.0,0.5
grayjo03,Josiah Gray,26.0,WSN,NL,0.0,2.0,0.0,14.04,2.0,2.0,0.0,0.0,0.0,0.0,8.1,15.0,13.0,13.0,2.0,5.0,0.0,9.0,0.0,0.0,0.0,44.0,5.93,2.4,16.2,2.2,5.4,9.7,1.8,30.0,-0.6
grayso01,Sonny Gray,34.0,STL,NL,13.0,9.0,0.591,3.84,28.0,28.0,0.0,0.0,0.0,0.0,166.1,142.0,79.0,71.0,21.0,39.0,0.0,203.0,3.0,1.0,7.0,671.0,3.12,1.088,7.7,1.1,2.1,11.0,5.21,109.0,1.8
greench03,Chad Green,33.0,TOR,AL,4.0,6.0,0.4,3.21,53.0,0.0,34.0,0.0,0.0,17.0,53.1,41.0,20.0,19.0,8.0,14.0,3.0,46.0,2.0,0.0,1.0,210.0,4.29,1.031,6.9,1.4,2.4,7.8,3.29,126.0,0.7
greenhu01,Hunter Greene,24.0,CIN,NL,9.0,5.0,0.643,2.75,26.0,26.0,0.0,0.0,0.0,0.0,150.1,96.0,47.0,46.0,12.0,57.0,0.0,169.0,19.0,1.0,7.0,611.0,3.47,1.018,5.7,0.7,3.4,10.1,2.96,160.0,6.3
grovemi01,Michael Grove,27.0,LAD,NL,4.0,4.0,0.5,5.12,39.0,2.0,7.0,0.0,0.0,0.0,51.0,46.0,31.0,29.0,6.0,16.0,0.0,54.0,6.0,0.0,2.0,216.0,3.87,1.216,8.1,1.1,2.8,9.5,3.38,76.0,-0.7
guentse01,Sean Guenther*,28.0,DET,AL,3.0,0.0,1.0,0.86,17.0,0.0,4.0,0.0,0.0,0.0,21.0,9.0,2.0,2.0,0.0,2.0,0.0,12.0,2.0,0.0,0.0,73.0,2.6,0.524,3.9,0.0,0.9,5.1,6.0,482.0,1.0
guerrlu01,Luis Guerrero,23.0,BOS,AL,0.0,0.0,,0.0,9.0,0.0,2.0,0.0,0.0,0.0,10.0,6.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,36.0,1.97,0.8,5.4,0.0,1.8,8.1,4.5,,0.5
haderjo01,Josh Hader*,30.0,HOU,AL,8.0,8.0,0.5,3.8,71.0,0.0,62.0,0.0,0.0,34.0,71.0,43.0,33.0,30.0,12.0,25.0,0.0,105.0,1.0,2.0,4.0,278.0,3.51,0.958,5.5,1.5,3.2,13.3,4.2,104.0,0.6
halldl01,DL Hall*,25.0,MIL,NL,1.0,2.0,0.333,5.02,13.0,7.0,2.0,0.0,0.0,0.0,43.0,48.0,26.0,24.0,6.0,21.0,0.0,44.0,4.0,0.0,1.0,197.0,4.68,1.605,10.0,1.3,4.4,9.2,2.1,84.0,-0.1
halvose01,Seth Halvorsen,24.0,COL,NL,2.0,1.0,0.667,1.46,12.0,0.0,8.0,0.0,0.0,2.0,12.1,8.0,3.0,2.0,2.0,2.0,0.0,13.0,1.0,1.0,0.0,46.0,3.9,0.811,5.8,1.5,1.5,9.5,6.5,323.0,0.6
