Player-additional,Player,Age,Team,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
garrere01,Reed Garrett,31.0,NYM,NL,1.0,0.0,1.0,5.4,7.0,0.0,0.0,0.0,0.0,0.0,8.1,5.0,5.0,5.0,2.0,2.0,0.0,10.0,1.0,1.0,0.0,31.0,4.97,0.84,5.4,2.2,2.2,10.8,5.0
gillu01,Luis Gil,26.0,NYY,ALWS,0.0,0.0,,6.75,2.0,2.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,6.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,36.0,1.96,1.625,9.0,2.3,5.6,4.5,0.8
henried01,Edgardo Henriquez,22.0,LAD,NL,0.0,0.0,,7.2,3.0,0.0,3.0,0.0,0.0,0.0,5.0,8.0,4.0,4.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,26.0,8.97,2.2,14.4,3.6,5.4,5.4,1.0
herriti01,Tim Herrin*,27.0,CLE,AL,1.0,0.0,1.0,1.08,9.0,0.0,0.0,0.0,0.0,0.0,8.1,6.0,1.0,1.0,0.0,5.0,0.0,6.0,0.0,0.0,1.0,33.0,3.53,1.32,6.5,0.0,5.4,6.5,1.2
hillti01,Tim Hill*,34.0,NYY,ALWS,0.0,0.0,,1.08,10.0,0.0,0.0,0.0,0.0,0.0,8.1,7.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,32.0,2.03,1.08,7.6,0.0,2.2,3.2,1.5
holmecl01,Clay Holmes,31.0,NYY,ALWS,3.0,1.0,0.75,2.25,13.0,0.0,1.0,0.0,0.0,0.0,12.0,8.0,3.0,3.0,1.0,5.0,0.0,12.0,1.0,0.0,0.0,48.0,2.86,1.083,6.0,0.8,3.8,9.0,2.4
holtoty01,Tyler Holton*,28.0,DET,AL,0.0,1.0,0.0,9.53,6.0,2.0,1.0,0.0,0.0,1.0,5.2,6.0,6.0,6.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,24.0,3.87,1.235,9.5,1.6,1.6,9.5,6.0
honeybr01,Brent Honeywell Jr.,29.0,LAD,NLWS,0.0,0.0,,9.35,3.0,0.0,1.0,0.0,0.0,0.0,8.2,12.0,9.0,9.0,1.0,3.0,0.0,2.0,4.0,0.0,0.0,43.0,4.42,1.731,12.5,1.0,3.1,2.1,0.67
hudsoda01,Daniel Hudson,37.0,LAD,NLWS,0.0,1.0,0.0,7.5,7.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,5.0,5.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,28.0,1.79,1.5,10.5,1.5,3.0,9.0,3.0
hurtebr01,Brant Hurter*,25.0,DET,AL,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,24.0,4.57,1.8,12.6,0.0,3.6,1.8,0.5
kahnlto01,Tommy Kahnle,34.0,NYY,ALWS,1.0,1.0,0.5,2.08,9.0,0.0,1.0,0.0,0.0,1.0,8.2,6.0,3.0,2.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,39.0,3.25,1.5,6.2,0.0,7.3,7.3,1.0
kingmi01,Michael King,29.0,SDP,NL,2.0,0.0,1.0,3.75,2.0,2.0,0.0,0.0,0.0,0.0,12.0,10.0,5.0,5.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,47.0,3.08,0.917,7.5,1.5,0.8,11.3,15.0
knackla01,Landon Knack,26.0,LAD,NLWS,0.0,0.0,,7.71,3.0,0.0,1.0,0.0,0.0,0.0,7.0,8.0,6.0,6.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,33.0,3.64,1.714,10.3,2.6,5.1,6.4,1.25
kopecmi01,Michael Kopech,28.0,LAD,NLWS,1.0,0.0,1.0,3.0,10.0,1.0,2.0,0.0,0.0,0.0,9.0,5.0,3.0,3.0,1.0,7.0,1.0,10.0,0.0,0.0,2.0,39.0,1.65,1.333,5.0,1.0,7.0,10.0,1.43
leitema02,Mark Leiter Jr.,33.0,NYY,ALWS,1.0,0.0,1.0,1.69,6.0,0.0,2.0,0.0,0.0,0.0,5.1,3.0,1.0,1.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,24.0,2.32,1.5,5.1,0.0,8.4,8.4,1.0
lugose01,Seth Lugo,34.0,KCR,AL,0.0,0.0,,2.89,2.0,2.0,0.0,0.0,0.0,0.0,9.1,7.0,3.0,3.0,1.0,5.0,0.0,8.0,1.0,0.0,0.0,42.0,4.77,1.286,6.8,1.0,4.8,7.7,1.6
manaese01,Sean Manaea*,32.0,NYM,NL,2.0,1.0,0.667,4.74,4.0,4.0,0.0,0.0,0.0,0.0,19.0,17.0,11.0,10.0,3.0,8.0,0.0,19.0,2.0,0.0,0.0,83.0,4.8,1.316,8.1,1.4,3.8,9.0,2.38
matonph01,Phil Maton,31.0,NYM,NL,0.0,1.0,0.0,8.53,6.0,0.0,1.0,0.0,0.0,0.0,6.1,11.0,6.0,6.0,4.0,4.0,0.0,6.0,1.0,0.0,0.0,33.0,11.85,2.368,15.6,5.7,5.7,8.5,1.5
