Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS,SB%,ISO,BABIP,BB%,SO%,BB/SO,HR/SB,XBH%,RBI Rate,R Rate,Cluster,Hitter_Type,Speed_Tier
saggeth01,Thomas Saggese,22.0,STL,NL,18.0,52.0,49.0,5.0,10.0,2.0,0.0,1.0,4.0,0.0,0.0,2.0,14.0,15.0,0.0,1.0,0.0,0.0,0.0,0.204,0.25,0.306,0.556,0.0,0.102,0.265,0.038,0.269,0.143,0.0,0.3,0.077,0.096,0,Contact Hitter,Low Speed
salazce01,César Salazar,28.0,HOU,AL,12.0,32.0,25.0,5.0,8.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,6.0,10.0,0.0,2.0,1.0,2.0,0.0,0.32,0.387,0.4,0.787,0.0,0.08,0.381,0.062,0.188,0.333,,0.25,0.25,0.156,1,Power Hitter,Low Speed
sanchal04,Alí Sánchez,27.0,MIA,NL,31.0,96.0,84.0,5.0,14.0,2.0,0.0,0.0,4.0,2.0,1.0,4.0,24.0,16.0,2.0,1.0,6.0,1.0,0.0,0.167,0.211,0.19,0.402,0.667,0.023,0.23,0.042,0.25,0.167,0.0,0.143,0.042,0.052,0,Contact Hitter,Moderate Speed
sanchga02,Gary Sánchez,31.0,MIL,NL,89.0,280.0,245.0,30.0,54.0,7.0,1.0,11.0,37.0,0.0,0.0,27.0,76.0,96.0,9.0,5.0,0.0,3.0,0.0,0.22,0.307,0.392,0.699,0.0,0.172,0.267,0.096,0.271,0.355,0.0,0.352,0.132,0.107,2,Balanced Hitter,Low Speed
sanchje02,Jesús Sánchez,26.0,MIA,NL,149.0,537.0,489.0,60.0,123.0,25.0,1.0,18.0,64.0,16.0,2.0,41.0,140.0,204.0,12.0,4.0,1.0,2.0,2.0,0.252,0.313,0.417,0.731,0.889,0.165,0.315,0.076,0.261,0.293,1.125,0.358,0.119,0.112,2,Balanced Hitter,Low Speed
sanojja01,Javier Sanoja,21.0,MIA,NL,15.0,36.0,35.0,3.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,0.229,0.25,0.286,0.536,0.0,0.057,0.258,0.028,0.111,0.25,,0.25,0.056,0.083,0,Contact Hitter,Low Speed
sanomi01,Miguel Sanó,31.0,LAA,AL,28.0,95.0,83.0,9.0,17.0,3.0,0.0,2.0,6.0,0.0,0.0,9.0,36.0,26.0,2.0,2.0,0.0,1.0,0.0,0.205,0.295,0.313,0.608,0.0,0.108,0.326,0.095,0.379,0.25,0.0,0.294,0.063,0.095,0,Contact Hitter,Low Speed
santaan02,Anthony Santander,29.0,BAL,AL,155.0,665.0,595.0,91.0,140.0,25.0,2.0,44.0,102.0,2.0,0.0,58.0,129.0,301.0,9.0,7.0,0.0,5.0,3.0,0.235,0.308,0.506,0.814,1.0,0.271,0.225,0.087,0.194,0.45,22.0,0.507,0.153,0.137,2,Balanced Hitter,High Speed
santaca01,Carlos Santana,38.0,MIN,AL,150.0,594.0,521.0,63.0,124.0,26.0,0.0,23.0,71.0,4.0,0.0,65.0,99.0,219.0,11.0,6.0,0.0,2.0,3.0,0.238,0.328,0.42,0.749,1.0,0.182,0.252,0.109,0.167,0.657,5.75,0.395,0.12,0.106,1,Power Hitter,Low Speed
schanno01,Nolan Schanuel,22.0,LAA,AL,147.0,607.0,519.0,62.0,130.0,19.0,0.0,13.0,54.0,10.0,1.0,68.0,103.0,188.0,14.0,9.0,3.0,7.0,0.0,0.25,0.343,0.362,0.706,0.909,0.112,0.285,0.112,0.17,0.66,1.3,0.246,0.089,0.102,1,Power Hitter,Moderate Speed
schmica01,Casey Schmitt,25.0,SFG,NL,40.0,113.0,107.0,11.0,27.0,4.0,1.0,6.0,16.0,0.0,0.0,4.0,25.0,51.0,2.0,1.0,0.0,1.0,0.0,0.252,0.283,0.477,0.76,0.0,0.225,0.273,0.035,0.221,0.16,0.0,0.407,0.142,0.097,2,Balanced Hitter,Low Speed
schneda03,Davis Schneider,25.0,TOR,AL,135.0,454.0,397.0,48.0,76.0,19.0,1.0,13.0,46.0,6.0,0.0,47.0,144.0,136.0,2.0,5.0,0.0,5.0,0.0,0.191,0.282,0.343,0.625,1.0,0.152,0.257,0.104,0.317,0.326,2.167,0.434,0.101,0.106,2,Balanced Hitter,Low Speed
schneda04,Daniel Schneemann,27.0,CLE,AL,73.0,221.0,193.0,17.0,42.0,10.0,2.0,5.0,22.0,3.0,2.0,25.0,70.0,71.0,1.0,0.0,0.0,3.0,0.0,0.218,0.303,0.368,0.671,0.6,0.15,0.306,0.113,0.317,0.357,1.667,0.405,0.1,0.077,2,Balanced Hitter,Moderate Speed
schuema01,Max Schuemann,27.0,OAK,AL,133.0,459.0,396.0,55.0,87.0,14.0,0.0,7.0,34.0,14.0,1.0,47.0,119.0,122.0,8.0,7.0,5.0,4.0,0.0,0.22,0.311,0.308,0.619,0.933,0.088,0.292,0.102,0.259,0.395,0.5,0.241,0.074,0.12,1,Power Hitter,Moderate Speed
schunaa01,Aaron Schunk,26.0,COL,NL,39.0,98.0,94.0,14.0,22.0,3.0,0.0,2.0,7.0,0.0,1.0,4.0,31.0,31.0,0.0,0.0,0.0,0.0,1.0,0.234,0.265,0.33,0.595,0.0,0.096,0.328,0.041,0.316,0.129,0.0,0.227,0.071,0.143,0,Contact Hitter,Low Speed
schwaky01,Kyle Schwarber,31.0,PHI,NL,150.0,692.0,573.0,110.0,142.0,22.0,0.0,38.0,104.0,5.0,3.0,106.0,197.0,278.0,6.0,5.0,0.0,8.0,4.0,0.248,0.366,0.485,0.851,0.625,0.237,0.301,0.153,0.285,0.538,7.6,0.423,0.15,0.159,2,Balanced Hitter,Moderate Speed
scottvi01,Victor Scott II,23.0,STL,NL,53.0,155.0,145.0,14.0,26.0,9.0,0.0,2.0,10.0,5.0,1.0,6.0,42.0,41.0,0.0,2.0,0.0,2.0,0.0,0.179,0.219,0.283,0.502,0.833,0.104,0.233,0.039,0.271,0.143,0.4,0.423,0.065,0.09,0,Contact Hitter,Moderate Speed
seageco01,Corey Seager,30.0,TEX,AL,123.0,533.0,475.0,68.0,132.0,21.0,0.0,30.0,74.0,1.0,1.0,53.0,96.0,243.0,8.0,3.0,0.0,2.0,11.0,0.278,0.353,0.512,0.864,0.5,0.234,0.291,0.099,0.18,0.552,30.0,0.386,0.139,0.128,2,Balanced Hitter,Moderate Speed
semiema01,Marcus Semien,33.0,TEX,AL,159.0,718.0,650.0,101.0,154.0,27.0,2.0,23.0,74.0,8.0,3.0,64.0,105.0,254.0,9.0,3.0,0.0,1.0,2.0,0.237,0.308,0.391,0.699,0.727,0.154,0.25,0.089,0.146,0.61,2.875,0.338,0.103,0.141,1,Power Hitter,Moderate Speed
senzeni01,Nick Senzel,29.0,CHW/WSN,2LG,74.0,267.0,236.0,25.0,46.0,11.0,0.0,7.0,18.0,1.0,3.0,28.0,61.0,78.0,6.0,1.0,1.0,0.0,1.0,0.195,0.283,0.331,0.614,0.25,0.136,0.232,0.105,0.228,0.459,7.0,0.391,0.067,0.094,1,Power Hitter,Moderate Speed
servebr01,Brian Serven,29.0,TOR,AL,28.0,71.0,63.0,6.0,10.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,22.0,14.0,0.0,2.0,1.0,0.0,0.0,0.159,0.243,0.222,0.465,0.0,0.063,0.244,0.07,0.31,0.227,,0.4,0.042,0.085,0,Contact Hitter,Low Speed
