Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS
martiau01,Austin Martin,25.0,MIN,AL,93.0,257.0,233.0,41.0,59.0,18.0,1.0,1.0,16.0,7.0,3.0,20.0,47.0,82.0,4.0,2.0,2.0,0.0,0.0,0.253,0.318,0.352,0.67
martijd02,J.D. Martinez,36.0,NYM,NL,120.0,495.0,434.0,46.0,102.0,24.0,1.0,16.0,69.0,0.0,0.0,49.0,141.0,176.0,17.0,6.0,0.0,2.0,0.0,0.235,0.32,0.406,0.725
martini02,Nick Martini*,34.0,CIN,NL,52.0,163.0,146.0,23.0,31.0,4.0,2.0,5.0,24.0,1.0,3.0,9.0,38.0,54.0,1.0,4.0,0.0,3.0,0.0,0.212,0.272,0.37,0.641
massemi02,Michael Massey*,26.0,KCR,AL,100.0,356.0,332.0,45.0,86.0,17.0,2.0,14.0,45.0,1.0,0.0,15.0,56.0,149.0,9.0,3.0,2.0,4.0,1.0,0.259,0.294,0.449,0.743
mastrmi01,Miles Mastrobuoni*,28.0,CHC,NL,50.0,106.0,98.0,9.0,19.0,3.0,0.0,0.0,4.0,2.0,0.0,7.0,17.0,22.0,1.0,0.0,0.0,1.0,0.0,0.194,0.245,0.224,0.47
mateojo01,Jorge Mateo,29.0,BAL,AL,68.0,208.0,192.0,30.0,44.0,14.0,2.0,5.0,18.0,13.0,2.0,10.0,48.0,77.0,3.0,1.0,2.0,3.0,0.0,0.229,0.267,0.401,0.668
matoslu02,Luis Matos,22.0,SFG,NL,45.0,156.0,150.0,14.0,32.0,5.0,0.0,5.0,25.0,0.0,0.0,5.0,24.0,52.0,5.0,0.0,0.0,1.0,1.0,0.213,0.237,0.347,0.584
mayoco01,Coby Mayo,22.0,BAL,AL,17.0,46.0,41.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,4.0,1.0,1.0,0.0,0.0,0.0,0.098,0.196,0.098,0.293
mccanja02,James McCann,34.0,BAL,AL,65.0,233.0,214.0,27.0,50.0,9.0,0.0,8.0,31.0,1.0,0.0,13.0,56.0,83.0,3.0,2.0,0.0,4.0,0.0,0.234,0.279,0.388,0.667
mccanky01,Kyle McCann*,26.0,OAK,AL,54.0,157.0,140.0,13.0,33.0,4.0,0.0,5.0,15.0,0.0,0.0,16.0,59.0,52.0,2.0,1.0,0.0,0.0,1.0,0.236,0.318,0.371,0.69
mccarja02,Jake McCarthy*,26.0,ARI,NL,142.0,495.0,442.0,66.0,126.0,13.0,7.0,8.0,56.0,25.0,6.0,31.0,78.0,177.0,4.0,14.0,5.0,3.0,1.0,0.285,0.349,0.4,0.749
mccorch01,Chas McCormick,29.0,HOU,AL,94.0,267.0,242.0,32.0,51.0,6.0,1.0,5.0,27.0,8.0,2.0,17.0,72.0,74.0,3.0,4.0,1.0,3.0,0.0,0.211,0.271,0.306,0.576
mccoyma01,Mason McCoy,29.0,SDP,NL,19.0,57.0,49.0,7.0,10.0,2.0,0.0,0.0,3.0,1.0,0.0,5.0,19.0,12.0,2.0,0.0,3.0,0.0,0.0,0.204,0.278,0.245,0.523
mccragr01,Grant McCray*,23.0,SFG,NL,37.0,130.0,124.0,13.0,25.0,3.0,2.0,5.0,10.0,5.0,0.0,6.0,56.0,47.0,3.0,0.0,0.0,0.0,0.0,0.202,0.238,0.379,0.617
