Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS
kwanst01,Steven Kwan*,26.0,CLE,AL,10.0,48.0,42.0,10.0,16.0,1.0,0.0,0.0,2.0,2.0,0.0,6.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.381,0.458,0.405,0.863
lindofr01,Francisco Lindor#,30.0,NYM,NL,13.0,62.0,51.0,11.0,14.0,3.0,1.0,2.0,8.0,0.0,0.0,10.0,13.0,25.0,0.0,0.0,0.0,1.0,2.0,0.275,0.387,0.49,0.877
luxga01,Gavin Lux*,26.0,LAD,NLWS,12.0,43.0,34.0,5.0,6.0,1.0,0.0,1.0,4.0,1.0,0.0,5.0,6.0,10.0,0.0,1.0,1.0,2.0,0.0,0.176,0.286,0.294,0.58
martest01,Starling Marte,35.0,NYM,NL,13.0,55.0,47.0,4.0,13.0,4.0,0.0,0.0,9.0,1.0,0.0,3.0,11.0,17.0,0.0,3.0,0.0,2.0,0.0,0.277,0.345,0.362,0.707
muncyma01,Max Muncy*,33.0,LAD,NLWS,16.0,67.0,49.0,8.0,8.0,1.0,0.0,3.0,5.0,2.0,0.0,15.0,20.0,18.0,1.0,3.0,0.0,0.0,0.0,0.163,0.388,0.367,0.755
naylojo01,Josh Naylor*,27.0,CLE,AL,10.0,43.0,40.0,2.0,9.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,10.0,11.0,1.0,0.0,0.0,1.0,0.0,0.225,0.256,0.275,0.531
nimmobr01,Brandon Nimmo*,31.0,NYM,NL,13.0,58.0,50.0,7.0,11.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,11.0,14.0,0.0,1.0,0.0,0.0,0.0,0.22,0.328,0.28,0.608
ohtansh01,Shohei Ohtani*,29.0,LAD,NLWS,16.0,76.0,61.0,14.0,14.0,1.0,0.0,3.0,10.0,0.0,2.0,13.0,22.0,24.0,0.0,1.0,0.0,0.0,0.0,0.23,0.373,0.393,0.767
ramirjo01,José Ramírez#,31.0,CLE,AL,10.0,44.0,35.0,5.0,8.0,3.0,0.0,2.0,6.0,2.0,0.0,7.0,5.0,17.0,0.0,1.0,0.0,1.0,5.0,0.229,0.364,0.486,0.849
rizzoan01,Anthony Rizzo*,34.0,NYY,ALWS,10.0,38.0,30.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,9.0,0.0,2.0,0.0,0.0,2.0,0.267,0.421,0.3,0.721
rocchbr01,Brayan Rocchio#,23.0,CLE,AL,10.0,39.0,33.0,4.0,11.0,2.0,0.0,1.0,2.0,0.0,0.0,5.0,7.0,16.0,0.0,0.0,1.0,0.0,0.0,0.333,0.421,0.485,0.906
smithwi05,Will Smith,29.0,LAD,NLWS,16.0,65.0,56.0,9.0,8.0,1.0,0.0,3.0,8.0,1.0,0.0,8.0,9.0,18.0,1.0,0.0,0.0,1.0,0.0,0.143,0.246,0.321,0.568
sotoju01,Juan Soto*,25.0,NYY,ALWS,14.0,64.0,49.0,12.0,16.0,3.0,0.0,4.0,9.0,0.0,0.0,14.0,9.0,31.0,1.0,0.0,0.0,1.0,2.0,0.327,0.469,0.633,1.101
stantmi03,Giancarlo Stanton,34.0,NYY,ALWS,14.0,62.0,55.0,9.0,15.0,3.0,0.0,7.0,16.0,1.0,0.0,6.0,11.0,39.0,1.0,0.0,0.0,1.0,1.0,0.273,0.339,0.709,1.048
tatisfe02,Fernando Tatis Jr.,25.0,SDP,NL,7.0,30.0,26.0,8.0,11.0,3.0,0.0,4.0,7.0,0.0,0.0,3.0,2.0,26.0,1.0,1.0,0.0,0.0,0.0,0.423,0.5,1.0,1.5
tayloty01,Tyrone Taylor,30.0,NYM,NL,13.0,44.0,37.0,6.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,8.0,1.0,3.0,0.0,0.0,0.0,0.162,0.295,0.216,0.512
thomala02,Lane Thomas,28.0,CLE,AL,10.0,43.0,36.0,4.0,8.0,1.0,0.0,2.0,9.0,1.0,0.0,7.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.222,0.349,0.417,0.766
torregl01,Gleyber Torres,27.0,NYY,ALWS,14.0,69.0,58.0,10.0,14.0,3.0,0.0,2.0,8.0,0.0,0.0,10.0,7.0,23.0,2.0,0.0,0.0,1.0,0.0,0.241,0.348,0.397,0.744
verdual01,Alex Verdugo*,28.0,NYY,ALWS,14.0,56.0,48.0,6.0,10.0,2.0,0.0,1.0,8.0,0.0,0.0,7.0,8.0,15.0,0.0,0.0,1.0,0.0,0.0,0.208,0.309,0.313,0.622
vientma01,Mark Vientos,24.0,NYM,NL,13.0,58.0,55.0,8.0,18.0,2.0,0.0,5.0,14.0,0.0,0.0,3.0,19.0,35.0,1.0,0.0,0.0,0.0,0.0,0.327,0.362,0.636,0.998
vierlma01,Matt Vierling,27.0,DET,AL,7.0,33.0,28.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,14.0,5.0,0.0,0.0,0.0,1.0,0.0,0.143,0.242,0.179,0.421
volpean01,Anthony Volpe,23.0,NYY,ALWS,14.0,59.0,49.0,10.0,14.0,3.0,0.0,1.0,6.0,5.0,0.0,10.0,13.0,20.0,0.0,0.0,0.0,0.0,1.0,0.286,0.407,0.408,0.815
wellsau01,Austin Wells*,24.0,NYY,ALWS,14.0,55.0,50.0,3.0,6.0,1.0,0.0,2.0,4.0,1.0,0.0,4.0,22.0,13.0,4.0,1.0,0.0,0.0,0.0,0.12,0.2,0.26,0.46
winkeje01,Jesse Winker*,30.0,NYM,NL,10.0,32.0,22.0,7.0,7.0,0.0,2.0,1.0,4.0,1.0,0.0,7.0,4.0,14.0,0.0,3.0,0.0,0.0,0.0,0.318,0.531,0.636,1.168
