Rk,Name,Age,Tm,Lg,G▼,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
105,Jose Siri,28,TBR,AL,128,116,110,1049.2,345,337,1,7,1,.980,6,7,12,13,0,2.90,2.62,OF-1B,sirijo01
106,Lourdes Gurriel Jr.,30,ARI,NL,127,120,108,1060.0,248,239,4,5,0,.980,6,7,3,3,-2,2.06,1.90,OF-1B,gurrilo01
107,Logan O'Hoppe,24,LAA,AL,127,121,116,1064.1,1009,962,41,6,0,.994,1,1,1,1,-3,8.48,7.90,C,ohopplo01
108,Luke Raley,29,SEA,AL,127,105,80,965.0,411,389,18,4,14,.990,1,2,4,4,2,3.80,2.95,OF-1B,raleylu01
109,Tyler Stephenson,27,CIN,NL,127,112,107,1001.0,981,945,32,4,4,.996,-1,-2,-8,-10,0,8.78,7.69,C,stephty01
110,Lane Thomas,28,TOT,ZZ,127,119,107,1065.2,270,256,7,7,3,.974,-17,-19,-13,-14,-3,2.22,2.07,OF,thomala02
111,José Ramírez,31,CLE,AL,126,126,117,1108.0,315,99,207,9,23,.971,4,5,6,6,0,2.49,2.43,3B,ramirjo01
112,Gio Urshela,32,TOT,MLB,126,117,107,1038.1,379,181,191,7,34,.982,12,13,1,1,-2,3.22,2.88,3B-1B-SS,urshegi01
113,Andrew Benintendi,29,CHW,AL,125,118,114,1031.0,250,244,3,3,0,.988,-3,-3,-13,-15,-4,2.16,1.98,OF,beninan01
114,Rowdy Tellez,29,PIT,NL,125,105,72,908.0,803,740,61,2,76,.998,1,1,-3,-4,-1,7.94,6.31,1B-P,tellero01
115,Jarred Kelenic,24,ATL,NL,124,111,95,1000.0,238,231,4,3,0,.987,1,1,-3,-3,-2,2.12,1.90,OF,kelenja01
116,George Springer,34,TOR,AL,124,120,109,1038.2,224,219,3,2,0,.991,-6,-6,-1,-1,0,1.92,1.79,OF,springe01
117,Jo Adell,25,LAA,AL,123,117,113,1035.2,241,234,3,4,0,.983,7,8,6,6,1,2.06,1.93,OF,adelljo01
118,Lawrence Butler,23,OAK,AL,123,105,94,959.1,259,253,2,4,1,.985,-1,-1,-1,-1,-2,2.39,2.07,OF,butlela01
119,Enrique Hernández,32,LAD,NL,123,93,67,881.0,302,154,138,10,25,.967,3,4,5,6,2,2.98,2.13,3B-OF-1B-SS-2B-P,hernaen02
120,MJ Melendez,25,KCR,AL,123,115,82,964.2,197,193,2,2,1,.990,-8,-10,-7,-8,-2,1.82,1.57,OF-1B,melenmj01
121,Nicky Lopez,29,CHW,AL,122,111,100,985.0,437,161,272,4,57,.991,-3,-3,-10,-12,0,3.96,3.38,2B-SS,lopezni01
122,Andrew Vaughn,26,CHW,AL,122,121,118,1059.1,896,816,76,4,75,.996,0,0,-4,-5,-1,7.58,7.31,1B,vaughan01
123,Seth Brown,31,OAK,AL,121,93,72,862.2,398,367,27,4,17,.990,-1,-2,-6,-8,-1,4.11,3.10,OF-1B,brownse01
124,Ha-Seong Kim,28,SDP,NL,121,119,115,1046.2,419,145,263,11,64,.974,-1,-1,2,2,-1,3.51,3.37,SS,kimha01
125,Michael Siani,24,STL,NL,121,98,70,877.1,243,242,1,0,0,1.000,12,16,9,12,-2,2.49,2.01,OF,sianimi01
126,Will Smith,29,LAD,NL,121,117,113,1051.1,1066,1000,58,8,3,.992,6,7,-4,-5,-5,9.06,8.74,C,smithwi05
127,William Contreras,26,MIL,NL,120,119,115,1060.0,1099,1054,37,8,2,.993,6,6,6,7,-2,9.26,9.09,C,contrwi02
128,Jonah Heim,29,TEX,AL,119,110,103,977.1,1011,967,37,7,5,.993,-8,-10,5,6,1,9.25,8.44,C,heimjo01
129,Blake Perkins,27,MIL,NL,119,104,95,956.1,308,300,7,1,2,.997,10,12,8,10,7,2.89,2.58,OF,perkibl01
130,Jesús Sánchez,26,MIA,NL,119,105,85,934.1,233,226,3,4,2,.983,-1,-1,-2,-2,-3,2.21,1.92,OF,sanchje02
131,Jared Triolo,26,PIT,NL,119,114,102,1010.2,380,149,228,3,46,.992,2,3,7,8,1,3.36,2.97,3B-2B-SS-1B-OF,triolja01
132,Will Benson,26,CIN,NL,118,102,52,884.0,233,226,5,2,0,.991,-6,-8,-6,-8,-1,2.35,1.96,OF,bensowi01
133,Trea Turner,31,PHI,NL,118,118,106,1018.2,444,136,291,17,51,.962,-9,-10,-14,-16,0,3.77,3.62,SS,turnetr01
134,Pete Crow-Armstrong,22,CHC,NL,117,109,102,965.2,317,306,8,3,0,.991,2,3,11,13,3,2.93,2.68,OF,crowape01
135,Aaron Judge,32,NYY,AL,117,117,98,1010.0,283,279,4,0,2,1.000,2,2,-8,-9,1,2.52,2.42,OF,judgeaa01
136,Mickey Moniak,26,LAA,AL,117,107,89,932.0,277,270,3,4,0,.986,5,6,-4,-5,-2,2.64,2.33,OF,moniami01
137,Miguel Amaya,25,CHC,NL,116,103,88,905.2,893,856,31,6,3,.993,1,2,5,7,5,8.81,7.65,C,amayami01
138,Jake Cave,31,COL,NL,116,83,61,790.2,190,184,5,1,1,.995,-9,-13,-6,-9,-2,2.15,1.63,OF,caveja01
139,Hunter Renfroe,32,KCR,AL,116,105,96,934.2,212,201,9,2,3,.991,0,-1,-4,-5,2,2.02,1.79,OF-1B,renfrhu01
140,Emmanuel Rivera,28,TOT,MLB,116,76,57,715.0,272,137,131,4,20,.985,-6,-10,-5,-8,0,3.37,2.20,3B-1B-P,riverem01
141,Johan Rojas,23,PHI,NL,116,103,82,903.1,227,219,6,2,1,.991,-12,-16,4,5,1,2.24,1.94,OF,rojasjo03
142,Keibert Ruiz,25,WSN,NL,116,109,104,971.2,962,921,39,2,8,.998,-3,-4,2,2,0,8.89,8.28,C,ruizke01
143,Michael Toglia,25,COL,NL,116,113,104,997.1,948,870,70,8,96,.992,-6,-7,11,13,2,8.48,7.70,1B-OF,toglimi01
144,Connor Wong,28,BOS,AL,116,106,92,964.0,928,873,49,6,8,.994,-3,-3,-16,-19,-3,8.61,7.26,C-1B-2B-OF,wongco01
145,Patrick Bailey,25,SFG,NL,115,101,98,908.0,962,904,55,3,7,.997,6,7,20,26,0,9.51,8.34,C,bailepa01
146,Mookie Betts,31,LAD,NL,115,115,89,974.1,359,176,171,12,33,.967,-1,-1,2,2,-1,3.21,2.75,SS-OF-2B,bettsmo01
147,Bo Naylor,24,CLE,AL,115,101,83,899.1,936,894,36,6,4,.994,3,3,11,15,1,9.31,8.09,C,naylobo01
148,Steven Kwan,26,CLE,AL,114,114,104,990.0,215,205,9,1,3,.995,1,1,10,12,3,1.95,1.88,OF,kwanst01
149,Otto Lopez,25,MIA,NL,114,106,97,949.1,470,181,281,8,55,.983,-1,-1,8,10,-2,4.38,3.88,2B-SS-3B-OF,lopezot01
150,Ketel Marte,30,ARI,NL,114,109,90,930.2,510,216,289,5,73,.990,4,5,10,13,1,4.88,4.43,2B-SS,marteke01
151,Ryan Mountcastle,27,BAL,AL,114,108,105,981.1,937,860,74,3,57,.997,1,2,8,10,3,8.57,8.19,1B,mountry01
152,Andy Pages,23,LAD,NL,114,101,78,933.2,302,294,5,3,2,.990,7,9,-1,-1,-2,2.88,2.62,OF,pagesan01
